["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:14"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:14"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:14"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:14"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:14"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:38"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:38"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:38"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:38"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:38"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:38"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:38"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:38"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:45"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:08:45"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:37"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:37"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:37"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:37"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:37"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:37"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:37"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:37"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:11:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:12:00"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:12:20"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:12:21"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:12:21"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:13:33"]
["b2015966bf79708dbe34050775517a55","2019-05-20 22:15:10"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:15:33"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:15:37"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:15:38"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:15:38"]
