["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:31"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:32"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:33"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:33"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:33"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:33"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:33"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:33"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:34"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:34"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:34"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:34"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:34"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:34"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:15:35"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:16:52"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:16:53"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:16:54"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:16:54"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:16:54"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:16:54"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:16:55"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:16:55"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:16:55"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:17:35"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:18:05"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:17"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:18"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:19"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:19"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:22"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:33"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:34"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:37"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:37"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:20:38"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:21:15"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:21:22"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:21:25"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:21:37"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:44:55"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:51:31"]
["bfceb083eab20598bc1869194a804469","2019-05-16 23:52:07"]
["e6fb7021acaff78a3d211698ff27c680","2019-05-16 23:52:43"]
